Submission, Marks
2005001 ,  100
2005002 ,  100
2005003 ,  100
2005004 ,  100
2005005 ,  100
2005006 ,  100
2005007 ,  100
2005008 ,  100
2005009 ,  100
2005010 ,  100
2005001 ,  100
2005002 ,  100
2005003 ,  100
2005004 ,  100
2005005 ,  100
2005006 ,  100
2005007 ,  100
2005008 ,  100
2005009 ,  100
2005010 ,  100
2005001 ,  100
2005002 ,  100
2005003 ,  100
2005004 ,  100
2005005 ,  100
2005006 ,  100
2005007 ,  100
2005008 ,  100
2005009 ,  100
2005010 ,  100
2005001 ,  100
2005002 ,  100
2005003 ,  100
2005004 ,  100
2005005 ,  100
2005006 ,  100
2005007 ,  100
2005008 ,  100
2005009 ,  100
2005010 ,  100
2005001 ,  100
2005002 ,  100
2005003 ,  100
2005004 ,  100
2005005 ,  100
2005006 ,  100
2005007 ,  100
2005008 ,  100
2005009 ,  100
2005010 ,  100
2005001 ,  90
2005002 ,  70
2005003 ,  90
2005004 ,  70
2005005 ,  100
2005006 ,  80
2005007 ,  90
2005008 ,  100
2005009 ,  70
2005010 ,  80
2005001 ,  90
2005002 ,  70
2005003 ,  90
2005004 ,  70
2005005 ,  100
2005006 ,  80
2005007 ,  90
2005008 ,  100
2005009 ,  70
2005010 ,  80
